Signal Legend:

Key        Signal Name

0        = DATA_8861_before[15..0]
1        = RAM0_add[7..0]
2        = RAM0_wdata[15..0]
3        = RAM1_add[3..0]
4        = RAM1_wdata[31..0]
5        = sample_cnt[12..0]
6        = sample_cntset[12..0]
7        = trigger[15..0]
8        = ADS8861:ADS8861_inst|data_reg[15..0]
9        = sm_cnt[9..0]
10       = soc_system:u0|soc_system_onchip_memory2_0:onchip_memory2_0|readdata2[15..0]
11       = soc_system:u0|soc_system_onchip_memory2_1:onchip_memory2_1|readdata2[31..0]
12       = ADS8861:ADS8861_inst|data[15..0]
13       = ADS8861:ADS8861_inst|cnt[4..0]
14       = RAM0_write

Data Table:

Signals-> 0     1   2     3  4         5   6   7   8      9   10    11  12    13 14 

sample

-948      1475  161 1475  2h 0000C350h 161 200 100 2374   516 05C3h 100 2374  18 1  
-947      1475  161 1475  2h 0000C350h 181 200 100 326    516 05C3h 100 2374  12 1  
-946      1475  161 1475  2h 0000C350h 0   200 100 1926   516 05C3h 100 2374  6  1  
-945      1475  161 1475  2h 0000C350h 20  200 100 1951   516 05C3h 100 2374  31 1  
-944      2374  162 2374  2h 0000C350h 40  200 100 1951   516 0946h 100 1951  18 1  
-943      2374  162 2374  2h 0000C350h 60  200 100 1951   516 0946h 100 1951  18 1  
-942      2374  162 2374  2h 0000C350h 80  200 100 1951   516 0946h 100 1951  18 1  
-941      2374  162 2374  2h 0000C350h 100 200 100 1951   516 0946h 100 1951  18 1  
-940      2374  162 2374  2h 0000C350h 120 200 100 1951   516 0946h 100 1951  18 1  
-939      2374  162 2374  2h 0000C350h 140 200 100 1951   516 0946h 100 1951  18 1  
-938      2374  162 2374  2h 0000C350h 160 200 100 1951   516 0946h 100 1951  18 1  
-937      2374  162 2374  2h 0000C350h 180 200 100 1951   516 0946h 100 1951  12 1  
-936      2374  162 2374  2h 0000C350h 200 200 100 1919   516 0946h 100 1951  6  1  
-935      2374  162 2374  2h 0000C350h 19  200 100 1915   516 0946h 100 1951  31 1  
-934      1951  163 1951  2h 0000C350h 39  200 100 1915   516 079Fh 100 1915  18 1  
-933      1951  163 1951  2h 0000C350h 59  200 100 1915   516 079Fh 100 1915  18 1  
-932      1951  163 1951  2h 0000C350h 79  200 100 1915   516 079Fh 100 1915  18 1  
-931      1951  163 1951  2h 0000C350h 99  200 100 1915   516 079Fh 100 1915  18 1  
-930      1951  163 1951  2h 0000C350h 119 200 100 1915   516 079Fh 100 1915  18 1  
-929      1951  163 1951  2h 0000C350h 139 200 100 1915   516 079Fh 100 1915  18 1  
-928      1951  163 1951  2h 0000C350h 159 200 100 1915   516 079Fh 100 1915  18 1  
-927      1951  163 1951  2h 0000C350h 179 200 100 1915   516 079Fh 100 1915  13 1  
-926      1951  163 1951  2h 0000C350h 199 200 100 1723   516 079Fh 100 1915  7  1  
-925      1951  163 1951  2h 0000C350h 18  200 100 1706   516 079Fh 100 1915  0  1  
-924      1915  164 1915  2h 0000C350h 38  200 100 1706   516 077Bh 100 1706  18 1  
-923      1915  164 1915  2h 0000C350h 58  200 100 1706   516 077Bh 100 1706  18 1  
-922      1915  164 1915  2h 0000C350h 78  200 100 1706   516 077Bh 100 1706  18 1  
-921      1915  164 1915  2h 0000C350h 98  200 100 1706   516 077Bh 100 1706  18 1  
-920      1915  164 1915  2h 0000C350h 118 200 100 1706   516 077Bh 100 1706  18 1  
-919      1915  164 1915  2h 0000C350h 138 200 100 1706   516 077Bh 100 1706  18 1  
-918      1915  164 1915  2h 0000C350h 158 200 100 1706   516 077Bh 100 1706  18 1  
-917      1915  164 1915  2h 0000C350h 178 200 100 1706   516 077Bh 100 1706  13 1  
-916      1915  164 1915  2h 0000C350h 198 200 100 1322   516 077Bh 100 1706  7  1  
-915      1915  164 1915  2h 0000C350h 17  200 100 1321   516 077Bh 100 1706  0  1  
-914      1706  165 1706  2h 0000C350h 37  200 100 1321   516 06AAh 100 1321  18 1  
-913      1706  165 1706  2h 0000C350h 57  200 100 1321   516 06AAh 100 1321  18 1  
-912      1706  165 1706  2h 0000C350h 77  200 100 1321   516 06AAh 100 1321  18 1  
-911      1706  165 1706  2h 0000C350h 97  200 100 1321   516 06AAh 100 1321  18 1  
-910      1706  165 1706  2h 0000C350h 117 200 100 1321   516 06AAh 100 1321  18 1  
-909      1706  165 1706  2h 0000C350h 137 200 100 1321   516 06AAh 100 1321  18 1  
-908      1706  165 1706  2h 0000C350h 157 200 100 1321   516 06AAh 100 1321  18 1  
-907      1706  165 1706  2h 0000C350h 177 200 100 1321   516 06AAh 100 1321  13 1  
-906      1706  165 1706  2h 0000C350h 197 200 100 425    516 06AAh 100 1321  7  1  
-905      1706  165 1706  2h 0000C350h 16  200 100 401    516 06AAh 100 1321  0  1  
-904      1321  166 1321  2h 0000C350h 36  200 100 401    516 0529h 100 401   18 1  
-903      1321  166 1321  2h 0000C350h 56  200 100 401    516 0529h 100 401   18 1  
-902      1321  166 1321  2h 0000C350h 76  200 100 401    516 0529h 100 401   18 1  
-901      1321  166 1321  2h 0000C350h 96  200 100 401    516 0529h 100 401   18 1  
-900      1321  166 1321  2h 0000C350h 116 200 100 401    516 0529h 100 401   18 1  
-899      1321  166 1321  2h 0000C350h 136 200 100 401    516 0529h 100 401   18 1  
-898      1321  166 1321  2h 0000C350h 156 200 100 401    516 0529h 100 401   18 1  
-897      1321  166 1321  2h 0000C350h 176 200 100 401    516 0529h 100 401   14 1  
-896      1321  166 1321  2h 0000C350h 196 200 100 529    516 0529h 100 401   8  1  
-895      1321  166 1321  2h 0000C350h 15  200 100 587    516 0529h 100 401   1  1  
-894      401   167 401   2h 0000C350h 35  200 100 587    516 0191h 100 587   18 1  
-893      401   167 401   2h 0000C350h 55  200 100 587    516 0191h 100 587   18 1  
-892      401   167 401   2h 0000C350h 75  200 100 587    516 0191h 100 587   18 1  
-891      401   167 401   2h 0000C350h 95  200 100 587    516 0191h 100 587   18 1  
-890      401   167 401   2h 0000C350h 115 200 100 587    516 0191h 100 587   18 1  
-889      401   167 401   2h 0000C350h 135 200 100 587    516 0191h 100 587   18 1  
-888      401   167 401   2h 0000C350h 155 200 100 587    516 0191h 100 587   18 1  
-887      401   167 401   2h 0000C350h 175 200 100 -7605  516 0191h 100 587   14 1  
-886      401   167 401   2h 0000C350h 195 200 100 -437   516 0191h 100 587   8  1  
-885      401   167 401   2h 0000C350h 14  200 100 -495   516 0191h 100 587   1  1  
-884      587   168 587   2h 0000C350h 34  200 100 -496   516 024Bh 100 -496  18 1  
-883      587   168 587   2h 0000C350h 54  200 100 -496   516 024Bh 100 -496  18 1  
-882      587   168 587   2h 0000C350h 74  200 100 -496   516 024Bh 100 -496  18 1  
-881      587   168 587   2h 0000C350h 94  200 100 -496   516 024Bh 100 -496  18 1  
-880      587   168 587   2h 0000C350h 114 200 100 -496   516 024Bh 100 -496  18 1  
-879      587   168 587   2h 0000C350h 134 200 100 -496   516 024Bh 100 -496  18 1  
-878      587   168 587   2h 0000C350h 154 200 100 -496   516 024Bh 100 -496  18 1  
-877      587   168 587   2h 0000C350h 174 200 100 -496   516 024Bh 100 -496  14 1  
-876      587   168 587   2h 0000C350h 194 200 100 -1264  516 024Bh 100 -496  8  1  
-875      587   168 587   2h 0000C350h 13  200 100 -1156  516 024Bh 100 -496  1  1  
-874      -496  169 -496  2h 0000C350h 33  200 100 -1156  516 FE10h 100 -1156 18 1  
-873      -496  169 -496  2h 0000C350h 53  200 100 -1156  516 FE10h 100 -1156 18 1  
-872      -496  169 -496  2h 0000C350h 73  200 100 -1156  516 FE10h 100 -1156 18 1  
-871      -496  169 -496  2h 0000C350h 93  200 100 -1156  516 FE10h 100 -1156 18 1  
-870      -496  169 -496  2h 0000C350h 113 200 100 -1156  516 FE10h 100 -1156 18 1  
-869      -496  169 -496  2h 0000C350h 133 200 100 -1156  516 FE10h 100 -1156 18 1  
-868      -496  169 -496  2h 0000C350h 153 200 100 -1156  516 FE10h 100 -1156 18 1  
-867      -496  169 -496  2h 0000C350h 173 200 100 -1156  516 FE10h 100 -1156 15 1  
-866      -496  169 -496  2h 0000C350h 193 200 100 -1668  516 FE10h 100 -1156 9  1  
-865      -496  169 -496  2h 0000C350h 12  200 100 -1664  516 FE10h 100 -1156 2  1  
-864      -1156 170 -1156 2h 0000C350h 32  200 100 -1661  516 FB7Ch 100 -1661 18 1  
-863      -1156 170 -1156 2h 0000C350h 52  200 100 -1661  516 FB7Ch 100 -1661 18 1  
-862      -1156 170 -1156 2h 0000C350h 72  200 100 -1661  516 FB7Ch 100 -1661 18 1  
-861      -1156 170 -1156 2h 0000C350h 92  200 100 -1661  516 FB7Ch 100 -1661 18 1  
-860      -1156 170 -1156 2h 0000C350h 112 200 100 -1661  516 FB7Ch 100 -1661 18 1  
-859      -1156 170 -1156 2h 0000C350h 132 200 100 -1661  516 FB7Ch 100 -1661 18 1  
-858      -1156 170 -1156 2h 0000C350h 152 200 100 -1661  516 FB7Ch 100 -1661 18 1  
-857      -1156 170 -1156 2h 0000C350h 172 200 100 -1661  516 FB7Ch 100 -1661 15 1  
-856      -1156 170 -1156 2h 0000C350h 192 200 100 -1661  516 FB7Ch 100 -1661 9  1  
-855      -1156 170 -1156 2h 0000C350h 11  200 100 -1741  516 FB7Ch 100 -1661 2  1  
-854      -1661 171 -1661 2h 0000C350h 31  200 100 -1741  516 F983h 100 -1741 18 1  
-853      -1661 171 -1661 2h 0000C350h 51  200 100 -1741  516 F983h 100 -1741 18 1  
-852      -1661 171 -1661 2h 0000C350h 71  200 100 -1741  516 F983h 100 -1741 18 1  
-851      -1661 171 -1661 2h 0000C350h 91  200 100 -1741  516 F983h 100 -1741 18 1  
-850      -1661 171 -1661 2h 0000C350h 111 200 100 -1741  516 F983h 100 -1741 18 1  
-849      -1661 171 -1661 2h 0000C350h 131 200 100 -1741  516 F983h 100 -1741 18 1  
-848      -1661 171 -1661 2h 0000C350h 151 200 100 -1741  516 F983h 100 -1741 18 1  
-847      -1661 171 -1661 2h 0000C350h 171 200 100 -1741  516 F983h 100 -1741 15 1  
-846      -1661 171 -1661 2h 0000C350h 191 200 100 -1741  516 F983h 100 -1741 9  1  
-845      -1661 171 -1661 2h 0000C350h 10  200 100 -1717  516 F983h 100 -1741 2  1  
-844      -1741 172 -1741 2h 0000C350h 30  200 100 -1719  516 F933h 100 -1719 18 1  
-843      -1741 172 -1741 2h 0000C350h 50  200 100 -1719  516 F933h 100 -1719 18 1  
-842      -1741 172 -1741 2h 0000C350h 70  200 100 -1719  516 F933h 100 -1719 18 1  
-841      -1741 172 -1741 2h 0000C350h 90  200 100 -1719  516 F933h 100 -1719 18 1  
-840      -1741 172 -1741 2h 0000C350h 110 200 100 -1719  516 F933h 100 -1719 18 1  
-839      -1741 172 -1741 2h 0000C350h 130 200 100 -1719  516 F933h 100 -1719 18 1  
-838      -1741 172 -1741 2h 0000C350h 150 200 100 -1719  516 F933h 100 -1719 18 1  
-837      -1741 172 -1741 2h 0000C350h 170 200 100 -1719  516 F933h 100 -1719 16 1  
-836      -1741 172 -1741 2h 0000C350h 190 200 100 -1719  516 F933h 100 -1719 10 1  
-835      -1741 172 -1741 2h 0000C350h 9   200 100 -1719  516 F933h 100 -1719 3  1  
-834      -1719 173 -1719 2h 0000C350h 29  200 100 -1719  516 F949h 100 -1719 18 1  
-833      -1719 173 -1719 2h 0000C350h 49  200 100 -1719  516 F949h 100 -1719 18 1  
-832      -1719 173 -1719 2h 0000C350h 69  200 100 -1719  516 F949h 100 -1719 18 1  
-831      -1719 173 -1719 2h 0000C350h 89  200 100 -1719  516 F949h 100 -1719 18 1  
-830      -1719 173 -1719 2h 0000C350h 109 200 100 -1719  516 F949h 100 -1719 18 1  
-829      -1719 173 -1719 2h 0000C350h 129 200 100 -1719  516 F949h 100 -1719 18 1  
-828      -1719 173 -1719 2h 0000C350h 149 200 100 -1719  516 F949h 100 -1719 18 1  
-827      -1719 173 -1719 2h 0000C350h 169 200 100 -1719  516 F949h 100 -1719 16 1  
-826      -1719 173 -1719 2h 0000C350h 189 200 100 -1719  516 F949h 100 -1719 10 1  
-825      -1719 173 -1719 2h 0000C350h 8   200 100 -1591  516 F949h 100 -1719 3  1  
-824      -1719 174 -1719 2h 0000C350h 28  200 100 -1586  516 F949h 100 -1586 18 1  
-823      -1719 174 -1719 2h 0000C350h 48  200 100 -1586  516 F949h 100 -1586 18 1  
-822      -1719 174 -1719 2h 0000C350h 68  200 100 -1586  516 F949h 100 -1586 18 1  
-821      -1719 174 -1719 2h 0000C350h 88  200 100 -1586  516 F949h 100 -1586 18 1  
-820      -1719 174 -1719 2h 0000C350h 108 200 100 -1586  516 F949h 100 -1586 18 1  
-819      -1719 174 -1719 2h 0000C350h 128 200 100 -1586  516 F949h 100 -1586 18 1  
-818      -1719 174 -1719 2h 0000C350h 148 200 100 -1586  516 F949h 100 -1586 18 1  
-817      -1719 174 -1719 2h 0000C350h 168 200 100 -1586  516 F949h 100 -1586 16 1  
-816      -1719 174 -1719 2h 0000C350h 188 200 100 -1074  516 F949h 100 -1586 10 1  
-815      -1719 174 -1719 2h 0000C350h 7   200 100 -1058  516 F949h 100 -1586 3  1  
-814      -1586 175 -1586 2h 0000C350h 27  200 100 -1062  516 F9CEh 100 -1062 18 1  
-813      -1586 175 -1586 2h 0000C350h 47  200 100 -1062  516 F9CEh 100 -1062 18 1  
-812      -1586 175 -1586 2h 0000C350h 67  200 100 -1062  516 F9CEh 100 -1062 18 1  
-811      -1586 175 -1586 2h 0000C350h 87  200 100 -1062  516 F9CEh 100 -1062 18 1  
-810      -1586 175 -1586 2h 0000C350h 107 200 100 -1062  516 F9CEh 100 -1062 18 1  
-809      -1586 175 -1586 2h 0000C350h 127 200 100 -1062  516 F9CEh 100 -1062 18 1  
-808      -1586 175 -1586 2h 0000C350h 147 200 100 -1062  516 F9CEh 100 -1062 18 1  
-807      -1586 175 -1586 2h 0000C350h 167 200 100 -1062  516 F9CEh 100 -1062 17 1  
-806      -1586 175 -1586 2h 0000C350h 187 200 100 -38    516 F9CEh 100 -1062 11 1  
